mean_norm_loaded_hipjoint_moment,std_norm_loaded_hipjoint_moment,mean_norm_loaded_kneejoint_moment,std_norm_loaded_kneejoint_moment,mean_norm_loaded_hipjoint_power,std_norm_loaded_hipjoint_power,mean_norm_loaded_kneejoint_power,std_norm_loaded_kneejoint_power,mean_loaded_hipjoint_speed,std_loaded_hipjoint_speed,mean_loaded_kneejoint_speed,std_loaded_kneejoint_speed,mean_loaded_hipjoint_kinematics,std_loaded_hipjoint_kinematics,mean_loaded_kneejoint_kinematics,std_loaded_kneejoint_kinematics,mean_norm_noload_hipjoint_moment,std_norm_noload_hipjoint_moment,mean_norm_noload_kneejoint_moment,std_norm_noload_kneejoint_moment,mean_norm_noload_hipjoint_power,std_norm_noload_hipjoint_power,mean_norm_noload_kneejoint_power,std_norm_noload_kneejoint_power,mean_noload_hipjoint_speed,std_noload_hipjoint_speed,mean_noload_kneejoint_speed,std_noload_kneejoint_speed,mean_noload_hipjoint_kinematics,std_noload_hipjoint_kinematics,mean_noload_kneejoint_kinematics,std_noload_kneejoint_kinematics
0.700201384,0.234965194,-0.119355631,0.100737753,-0.178209055,0.237190197,0.343952324,0.305317585,-0.209268118,0.306817093,-2.827628674,0.461441517,38.13510922,4.225338832,13.21127648,3.8267215,0.644709781,0.214354124,-0.06098766,0.068449019,-0.091018174,0.267879757,0.211764293,0.246962898,-0.060291853,0.427484287,-3.189287531,0.75886906,32.12421737,4.168078962,12.86765634,2.51907129
0.703986157,0.235985412,-0.107160994,0.10121882,-0.175326932,0.237355906,0.308756589,0.304869634,-0.204259255,0.307712264,-2.824717654,0.46105576,38.14924332,4.224393198,13.40452566,3.840857504,0.644809994,0.216871393,-0.047697638,0.067497319,-0.085673393,0.262593918,0.167972197,0.239516951,-0.051810664,0.420023802,-3.177024364,0.756771083,32.12717587,4.167635122,13.07343424,2.524631451
0.708371799,0.236947779,-0.095024355,0.101788865,-0.172228999,0.237582443,0.27368083,0.304743755,-0.198852934,0.308536286,-2.820728815,0.460719272,38.16302076,4.223384003,13.59754163,3.854842741,0.645499159,0.219223015,-0.034557605,0.066523767,-0.080125866,0.25743222,0.124862523,0.232432183,-0.043072529,0.412468262,-3.163754121,0.75452795,32.12957651,4.167663571,13.27838323,2.530637345
0.713300282,0.237836907,-0.082926658,0.102446347,-0.16889305,0.237859332,0.238705923,0.304926201,-0.193053434,0.30928996,-2.815701232,0.460404252,38.17641979,4.222314891,13.79026653,3.868680152,0.646720598,0.221409696,-0.02154786,0.065547953,-0.074359522,0.252360181,0.082404231,0.225821024,-0.034080368,0.404836968,-3.149515782,0.752143102,32.13140534,4.168153479,13.48244867,2.53706902
0.718737172,0.238619982,-0.070858719,0.103188733,-0.165308851,0.238188968,0.203842475,0.30539652,-0.186860365,0.309964427,-2.809659847,0.460104931,38.18942289,4.221203466,13.98262574,3.882364667,0.648432084,0.223424892,-0.008653487,0.064587321,-0.068351116,0.247351473,0.040584461,0.219792403,-0.024831738,0.397142375,-3.134332554,0.749610932,32.13264195,4.169091933,13.6855579,2.54389881
0.724637422,0.239273432,-0.058800385,0.104013814,-0.161446446,0.238567993,0.169071613,0.306136311,-0.180265107,0.310556291,-2.802610495,0.459824612,38.20199798,4.220059364,14.17454684,3.895895625,0.65058969,0.225262393,0.004140108,0.063665593,-0.062083639,0.242384356,-0.000609907,0.214478903,-0.015328111,0.389400678,-3.118238072,0.746926885,32.13327595,4.170468861,13.88764676,2.551114887
0.730953977,0.239787419,-0.046734729,0.104921423,-0.157276844,0.238994231,0.134386151,0.307135562,-0.173270917,0.311067865,-2.794577505,0.459542977,38.21411156,4.218881475,14.36595122,3.909270189,0.653134564,0.226939052,0.016851761,0.06281094,-0.055548892,0.237435453,-0.041208826,0.210024976,-0.005573701,0.381625255,-3.101270018,0.744079954,32.1332964,4.172268933,14.08868207,2.558726484
0.737636285,0.240157699,-0.034650789,0.105906507,-0.152788079,0.239465114,0.099786009,0.308383284,-0.165883566,0.311496878,-2.78559956,0.459238357,38.22574539,4.217674542,14.55678526,3.922495059,0.656024943,0.228459902,0.02949701,0.062045843,-0.048728504,0.232488993,-0.081219938,0.206547429,0.004437393,0.373830609,-3.083428504,0.741064323,32.13267228,4.174482089,14.28859091,2.566724016
0.744647214,0.240379486,-0.022531837,0.10696966,-0.147945551,0.239977676,0.0652578,0.309864044,-0.158084233,0.311834208,-2.775664743,0.458908281,38.23685766,4.216428667,14.74698708,3.93554562,0.659216521,0.229824579,0.042087601,0.061393109,-0.041615978,0.22753513,-0.120647938,0.204155085,0.014699513,0.366033058,-3.064758455,0.73787973,32.13139745,4.177097044,14.48732152,2.575096274
0.751939094,0.240466669,-0.010366406,0.108110646,-0.142724586,0.240527901,0.030818595,0.311575157,-0.149884337,0.312087713,-2.764810203,0.458540923,38.2474195,4.215152549,14.93647221,3.948428329,0.662670226,0.231042583,0.054632235,0.06087473,-0.034205125,0.222564053,-0.15948162,0.202932302,0.025213033,0.358245911,-3.045289929,0.734523509,32.12944857,4.180106086,14.68481601,2.583806504
0.759467627,0.240435321,0.001852364,0.109326411,-0.137110103,0.241114546,-0.003522597,0.3135154,-0.141288211,0.312259185,-2.753068232,0.458126165,38.25741956,4.213857912,15.12520353,3.961151439,0.666362199,0.232119584,0.067132161,0.060509319,-0.026488227,0.217572623,-0.197692519,0.202935448,0.03597702,0.350483086,-3.025047878,0.730992624,32.12680524,4.183507327,14.88102337,2.592851815
